Atlanten	اقیانوس اطلس
sätta sig i spetsen för ngt|spets	خود را در راس کاری قرار دادن
sätta sig mellan två stolar|stol	درتصمیم گیری عاجز بودن
sätta sig på bakhasorna|bakhas	سر لجبازی افتادن.
sätta sig vid ratten|sätta	پشت فرمان نشستن
sätta sigill på|sigill	مهر و موم کردن
sätta sitt sigill på|sigill	مهر یا تصدیق کردن
sätta skräck i ngn|skräck	کسی را به وحشت انداختن
sätta solkatt på ngn|solkatt|solkatten|solkatter	با آئینه نور آفتاب را بروی کسی انداختن
sätta spets på|spets	بیشتر کردن، قوی کردن
sätta sprätt på pengarna|sprätt	پولها را حیف و میل کردن
sätta stopp för ngt|stopp	جلوی چیزی را گرفتن (مانع شدن)
sätta stängsel för|stängsel	جلوگیری کردن
satt|satte|sätta|sätter	1. چسباندن، نصب کردن، 2. قرار دادن، نهادن، گذاردن، گذاشتن، 3. چیدن، ترتیب دادن، 4. ‌نشاندن، کاشتن، 5. استوار و ثابت کردن، 6. شرط بندی کردن، 7. جایگزین ساختن، نشاندن، 8. جائی برای خود گرفتن، 9. نشستن، 10. آهنگ ساختن، 11. حروف چینی کردن، 12. گیر کردن، 13. نشست کردن، فرو نشستن، 14. خود را به خطر انداختن
sätta ur funktion|funktion|sätta	از کار انداختن، خراب کردن
sättare|sättaren|sättarn|sättarna	حروف چین
sätter	زمان حال از:، چسباندن، قرار دادن، نهادن، گذاردن، گذاشتن، چیدن، ‌نشاندن، ترتیب دادن، استوار و ثابت کردن، نصب کردن، شرط بندی کردن، کاشتن، جایگزین ساختن، جایی برای خود گرفتن، نشستن، آهنگ ساختن، حروف چینی کردن، گیر کردن، نشست کردن، فرو نشستن، خود را به خطر انداختن
sätteri|sätterier|sätteriet|sätterit	حروف چینی
sättfel	اشتباه ناشر
sättkast	جعبه حروف
sättmaskin|sättmaskinen|sättmaskiner	ماشین حروف چین
sättning|sättningar|sättningen	1. فروکشی، فرونشینی، 2. غرس، کشت، 3. سازش، کم و زیاد، 4. حروف چینی
sättningsfel|sättningsfelen|sättningsfelet	اشتباه ناشر
sättplanta|sättplantan|sättplantor	نهال
sättpotatis|sättpotatisar|sättpotatisen	سیب زمینی کاشتنی
säv|säven	نی بوریا، بوریا
sävlig|sävligt	کُند، تنبل
sävliga rörelser|sävlig	حرکات آهسته
sävsångare|sävsångaren|sävsångarn|sävsångarna	نوعی پرنده کوچک آوازخوان
så	1. پخش کردن، پراکنده کردن، 2. کاشتن، کشت کردن، طشت، 1. به قدری، اینچنین، اینطور، آنقدر، چنان، 2. بعد از آن، بعد، 3. این، 4. تا اینکه، برای
så förhåller det sig|så	همینی که هست
så slött av mig att glömma det|slö|slött	بی توجهی من باعث فراموش کردن آن شد
så småningom|så	کم کم
så snart han kommer|snart	به محض ورودش  ...
så snart som möjligt|snart	هر چه زودتر
så svarar man inte sin mor|svara	جواب مادر را نباید اینطور داد
så synd|synd	حیف (چقدر حیف شد)
så sår sådde sått|så|sådde|sår|sått	1. پخش کردن، پراکنده کردن، 2. کاشتن، کشت کردن
sådan|sådant	چنین، چنان
sådant är livet|sådan|sådant	چنین است زندگی
sådd|sådden|sådder	1. دانه، تخم، 2. بذر افشانی
sådor	سبوس، نخاله
sående|såendet	بذر افشانی
såframt	مگر، در صورتیکه
såg|sågar|sågen	ارّه
såga av|såga	ارّه کردن
såga ner ett träd|såga	درختی را ارّه کردن
såga|sågade|sågar|sågat	ارّه شدن، ارّه کردن
sågare|sågaren	ارّه کش
sågbar|sågbart	قابل بریدن یا ارّه کردن
sågblad|sågbladen|sågbladet	تیغ ارّه
sågbock|sågbockar|sågbocken	نیمکت برای ارّه کشی
sågfil	سوهان مخصوص تیز کزدن دندانه های ارّه
sågfisk|sågfiskar|sågfisken	ارّه ماهی
sågklinga|sågklingan|sågklingor	تیغ ارّه
sågning|sågningar|sågningen	اره کشی
sågskär	تیزی دندانه های ارّه
sågspån|sågspånen|sågspånet	خاک ارّه
sågtand|sågtanden|sågtänder	دندانه ارّه
sågtandad|sågtandat	دندانه دار
sågverk|sågverken|sågverket	چوب بری، کارخانه ارّه کشی
sågverksbolag|sågverksbolagen|sågverksbolaget	شرکت چوب بری
såhär	اینطور
såld|sålda|sålt	فروخته شده
således	بدین معنی که، بنابراین، در نتیجه
såll|sållen|sållet	1. سرند، 2. غربال، الک
sålla bland ansökningar|sålla	از تقاضاها انتخاب کردن
sålla|sållade|sållar|sållat	1. تفکیک کردن، کم کردن، 2. الک کردن، غربال کردن
sålunda	از این رو، بنابر این، پس، بدین گونه، از این قرار
sån|såar	چنین، چنان
sång|sången|sånger	نغمه، آواز، ترانه، تصنیف
sångare|sångaren|sångarn|sångarna	1. چکاوک، 2. شاعر، سراینده، خواننده
sångartist|sångartisten|sångartister	خواننده حرفه ای
sångbar|sångbart	خواندنی، سرودنی
sångbok|sångboken|sångböcker	جزوه ترانه ها و تصنیف ها
sångerska|sångerskan|sångerskor	خواننده زن
sångfågel|sångfågeln|sångfåglar	پرنده ایکه میخواند
sånggudinna|sånggudinnan|sånggudinnor	الهه شعر و موسیقی
sånggudstjänst|sånggudstjänsten|sånggudstjänster	عبادتی که با خواندن همراه است
sångkonst|sångkonsten|sångkonster	هنر خواندن
sångkör|sångkören|sångkörer	دسته سرایندگان
sånglektion|sånglektionen|sånglektioner	درس آواز
sånglärare|sångläraren|sånglärarn|sånglärarna	معلم آواز
sånglärka|sånglärkan|sånglärkor	چکاوک
sångmö|sångmön|sångmör	الهه شعر و موسیقی
sångröst|sångrösten	صدای آواز
sångsvan|sångsvanar|sångsvanen	نوعی قو
sångtext|sångtexten|sångtexter	متن تصنیف
sångtrast|sångtrastar|sångtrasten	یکنوع پرنده
såning|såningen	بذر افشانی
såningsman|såningsmannen|såningsmän|såningsmännen	برزگر
sånt	چنین، چنان
såpa	صابون زدن، 1. مخلوطی از نمکهای اسید سیتریک پالمتیک، 2. صابون مایع (نرم)
såpa|såpade|såpar|såpat	صابون زدن
såpaktig|såpaktigt	صابون دار
såpan|såpor	1. مخلوطی از نمکهای اسید سیتریک پالمتیک، 2. صابون مایع (نرم)
såpass	به حد کافی، به آن اندازه، آنقدر
såpass mycket bör man veta|såpass	آنقدر باید دانست
såpbubbla|såpbubblan|såpbubblor	حباب صابون
såphal|såphalt	لیز مثل صابون
såphaltig|såphaltigt	به غلظت صابون
såpig|såpigt	صابونی
såplödder|såplöddret	کف صابون
såpnejlika|såpnejlikan|såpnejlikor	غاسول صابونی
såpsjuderi|såpsjuderier|såpsjuderiet	صابون پز خانه
såpsjudning	صابون پزی
såpvatten|såpvattnen|såpvattnet	آب صابون
såpört|såpörten|såpörter	غاسول صابونی
sår|såren|såret	1. شکاف، بریدگی، 2. جراحت، زخم، 3. جریحه، بی حرمتی، توهین
såra|sårade|sårar|sårat	1. جریحه دار کردن، بی حرمت کردن، 2. زخم زدن، زخمی کردن
sårande	1. مجروح، زخمی، 2. جریحه دار
sårande ord|sårande	سخن توهین آمیز
sårbar|sårbart	زخم دار، جراحت بردار، زخم پذیر، آسیب پذیر
sårbarhet|sårbarheten	زخم پذیزی، آسیب پذیری
sårbart samhälle|sårbar|sårbart	اجتماع آسیب پذیر
sårbildning|sårbildningar|sårbildningen	تولید زخم
sårig|sårigt	1. زخم دار، زخمی، 2. پوشیده از زخم
sårläkande	دارای عاملی که باعث تسریع در بهبود زخم میشود
sårnad|sårnaden|sårnader	زخم، جراحت
sårskada|sårskadan|sårskador	زخم، جراحت
sårskorpa|sårskorpan|sårskorpor	لخته یا دلمه روی زخم
sås|såsen|såser	چاشنی، سوسک
såsa|såsade|såsar|såsat	1. چاشنی زدن، 2. بیهوده وقت تلف کردن
såsig|såsigt	سست، اهمال کار
såskopp	شخص وقت تلف کن
såsom	همچون، چون، مثل، مانند، بطوری که، مثل اینکه، از قبیل
såta	صمیمی
såta vänner|såta	دوستان صمیمی
såtillvida	تا اینجا، تا کنون، تا این اندازه
såvera|såverade|såverar|såverat	نجات دادن، رهایی بخشیدن، حفظ کردن، نگهداری کردن
såvida	در صورتی که، مگر
såvitt	1. مگر، در صورتیکه، 2. تا اندازه ای که، تا جائیکه
såvitt möjligt|såvitt	در صورت امکان
såvitt som jag vet|såvitt	تا آنجا که من میدانم
såväl	به خوبی، همچنین، و نیز، به علاوه
såväl i tal som i skrift|såväl	هر دو زبانی و نوشتاری
såväl jag som du|såväl	هر دوی ما، هم من هم تو
såväl stora som små|såväl	بزرگسالان همچنین خردسالان
söcken	روز عادی
söckendag	1. روز هفته، 2. روز کار
söder	جنوبی، جنوب
söder om Uppsala|söder	جنوب اوپسالا
södergående	رهسپار جنوب
södergående tåg|södergående	قطار عازم جنوب
söderifrån	از سمت جنوب
södern	جنوبی
södersol	تابش آفتاب از جنوب، آفتاب ظهر
söderut	بطرف جنوب، رو به جنوب
södra	واقع در جنوب
sök	فعل امری از:، خواستن، گشتن، جویا شدن، جستجو کردن، تقاضا کردن، درخواست کردن، برای کشف چیزی کوشش کردن، آرزو کردن، سعی کردن، کوشش کردن، خواستار دیدار شدن
söka gräl med ngn|söka	دنبال دعوا با کسی بودن
söka nåd|söka	تقاضای بخشودگی کردن
söka sig fram|söka	راه خود را پیدا کردن
söka sig ut|söka	راهی به بیرون باز کردن، خلاص جستن
söka skydd|skydd	پناه خواستن
söka|söker|sökt|sökte	1. خواستن، آرزو کردن، 2. گشتن، جویا شدن، جستجو کردن، 3. تقاضا کردن، درخواست کردن، 4. برای کشف چیزی کوشش کردن، 5. سعی کردن، کوشش کردن، 6. خواستار دیدار شدن
söka upp|söka	با جستجو پیدا کردن، تجسس کردن
söka ut|söka	انتخاب کردن، جدا کردن
sökande	در جستجو، پژوهنده، تقاضا کننده، درخواست کننده، شخص درخواست کننده، کاوش، گشت، جستجو
sökanden	شخص درخواست کننده
sökare|sökaren|sökarn|sökarna	1. یابنده، جستجو کننده، 2. عدسی تنظیم تصویر، 3. نورافکن متحرک، 4. موج یاب، 5. برآمدگی استوانه ای شکل
sökarljus|sökarljusen|sökarljuset	1. اشعه نورافکن، 2. نورافکن، چراغ بالا
sökarobjektiv	عدسی چشمی
söker	زمان حال از:، خواستن، گشتن، جویا شدن، جستجو کردن، تقاضا کردن، درخواست کردن، برای کشف چیزی کوشش کردن، آرزو کردن، سعی کردن، کوشش کردن، خواستار دیدار شدن
sökning|sökningen	جستجو، بدنبال چیزی گشتن
sökt|sökta	1. دور از دسترس، نادر، کمیاب، 2. ساختگی، مصنوعی
sökte	زمان گذشته از:، خواستن، گشتن، جویا شدن، جستجو کردن، تقاضا کردن، درخواست کردن، برای کشف چیزی کوشش کردن، آرزو کردن، سعی کردن، کوشش کردن، خواستار دیدار شدن
söl|sölet	1. اتلاف وقت، اهمال کاری، 2. تأخیر
söla ned|söla	با ...ور رفتن
söla|sölade|sölar|sölat	1. آلودن، کثیف کردن، 2. تأخیر کردن، 3. بیهوده وقت گذراندن
sölare|sölaren	کسیکه وقت خود را بیهوده میگذراند
sölig|söligt	1. تنبل، سست، 2. آلوده، کثیف، 3. اهمال کار
sölja|söljan|söljor	1. سگک، قلاب، 2. حلقه
sölkorv|sölkorvar|sölkorven	شخص علّاف یا اهمال کار، بیکاره
söm	میخ کوچکی جهت نعل کوبی، 1. خط یکی شدن دو استخوان جمجمه، 2. درز، شکاف، درز لباس، 
sömlös|sömlöst	بدون درز یا شکاف
sömma|sömmade|sömmar|sömmat	دوختن، درز گرفتن
sömmande|sömmandet	دوخت
sömmare|sömmaren|sömmarn|sömmarna	دوزنده یا خیاط (مرد)
sömmen|sömmar	1. خط یکی شدن دو استخوان جمجمه، 2. درز، شکاف، درز لباس
sömmerska|sömmerskan|sömmerskor	خیاط زن
sömmet|sömmen	میخ کوچکی جهت نعل کوبی
sömn|sömnen	خواب
sömnad|sömnaden|sömnader	دوخت، دوزندگی
sömnadsindustri|sömnadsindustrien|sömnadsindustrier|sömnadsindustrin	صنعت لباس دوزی
sömnbehov|sömnbehoven|sömnbehovet	احتیاج بخواب
sömndrucken|sömndrucket|sömndruckna	خواب آلود، نیمه خواب
sömndryck|sömndrycken|sömndrycker	نوشیدنی خواب آور
sömnfångaraktig|sömnfångaraktigt	خواب گرد مانند، شبیه به کسی که در خواب راه میرود
